"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34"
"1",0,14.685940464,1.490408864,9.697118753,7.33199271,5.231704961,4.81964083,15.883504066,1.770142341,5630.645898999,5633.051317068,5628.33312104,5630.374614139,5633.322016543,5634.730153281,5643.053701909,5632.341316852,5632.517832895,3717.012444291,3703.28443193,3698.008687547,3707.499588886,3703.41935547,3701.515660309,3703.270190486,6824.988864994,6820.924249179,6826.395687017,6821.746466357,6823.505526166,6829.143191119,6821.52108884,6829.609283571,6823.464634104
"2",14.685940464,0,14.26203451,5.120275289,9.117211334,9.454235503,9.866299634,1.197563602,13.019610333,5630.268041465,5627.862623396,5633.047985684,5630.539326325,5629.183977323,5629.082610621,5631.666480249,5628.572623612,5628.668962771,3702.884221653,3706.64947295,3712.363959711,3701.986351578,3707.84011257,3708.173777147,3706.215749978,6828.058751522,6832.311470839,6827.932876751,6833.133688017,6828.63439723,6822.344830135,6831.784915658,6823.815145087,6830.758521608
"3",1.490408864,14.26203451,0,9.273212799,6.908086756,4.807799007,4.395734876,15.459598112,3.122797537,5630.221993045,5632.627411114,5627.442048826,5629.950708185,5631.831607679,5633.239744417,5641.782981141,5631.917410898,5632.093926941,3716.588538337,3702.41256156,3699.499096411,3707.075682932,3701.928946606,3700.888257363,3702.846284532,6824.56495904,6822.414658043,6825.971781063,6823.236875221,6823.081620212,6828.719285165,6821.888102862,6829.185377617,6823.04072815
"4",9.697118753,5.120275289,9.273212799,0,3.996936045,4.465413792,4.877477923,6.186385313,7.926976412,5625.279219754,5623.713895925,5628.059163973,5625.550504614,5627.055070172,5628.46320691,5636.786755538,5623.583801901,5623.548687482,3708.004496942,3701.660651239,3707.375138,3700.399276247,3702.851290859,3703.184955436,3701.226928267,6822.938476233,6827.19119555,6822.812601462,6828.013412728,6823.514121941,6819.446072366,6826.664640369,6819.912164818,6825.638246319
"5",7.33199271,9.117211334,6.908086756,3.996936045,0,2.100287749,2.51235188,9.448704632,5.561850369,5628.127374299,5627.71083197,5626.063110714,5627.812741699,5631.052006217,5632.460142955,5640.783691583,5626.998507586,5626.676248563,3712.001432987,3701.014421604,3705.010011957,3704.396212292,3701.149345144,3700.819829393,3699.314838676,6818.941540188,6823.828713123,6819.063694307,6824.016476683,6819.517185896,6822.256381199,6822.667704324,6822.277290861,6821.641310274
"6",5.231704961,9.454235503,4.807799007,4.465413792,2.100287749,0,2.574519657,10.651799105,5.96738826,5626.062385038,5627.819612107,5623.998121453,5625.747752438,5628.987016956,5630.395153694,5638.718702322,5627.109611891,5627.286127934,3711.78073933,3698.949432343,3702.909724208,3702.331223031,3699.084355883,3698.719541644,3698.038485525,6821.006529449,6825.259248766,6821.163982056,6826.081465944,6821.582175157,6823.911486158,6824.732693585,6824.37757861,6823.706299535
"7",4.81964083,9.866299634,4.395734876,4.877477923,2.51235188,2.574519657,0,11.063863236,3.392868603,5628.636904695,5628.231676238,5626.57264111,5628.322272095,5631.561536613,5632.969673351,5641.293221979,5627.521676022,5627.698192065,3712.510963383,3701.523952,3702.497660077,3704.905742688,3701.65887554,3699.755180379,3699.824369072,6820.169224164,6822.684729109,6821.576046187,6823.506946287,6819.0076555,6824.323550289,6822.158173928,6824.789642741,6821.131779878
"8",15.883504066,1.197563602,15.459598112,6.186385313,9.448704632,10.651799105,11.063863236,0,14.113361725,5631.465605067,5629.060186998,5634.245549286,5631.736889927,5630.381540925,5630.280174223,5631.334986951,5629.770187214,5629.593671171,3702.552728355,3707.847036552,3713.561523313,3703.18391518,3709.037676172,3709.371340749,3707.41331358,6828.39024482,6832.642964137,6828.264370049,6833.465181315,6828.965890528,6822.676323433,6832.116408956,6824.146638385,6831.090014906
"9",1.770142341,13.019610333,3.122797537,7.926976412,5.561850369,5.96738826,3.392868603,14.113361725,0,5632.029773298,5631.613230969,5629.965509713,5631.715140698,5634.954405216,5636.362541954,5644.686090582,5630.900906585,5630.747690554,3715.903831986,3704.916820603,3699.448161588,3708.298611291,3705.051744143,3703.148048982,3703.217237675,6823.218722653,6819.291860506,6824.625544676,6820.114077684,6821.735383825,6827.373048778,6819.750946499,6827.83914123,6821.694491763
"10",5630.645898999,5630.268041465,5630.221993045,5625.279219754,5628.127374299,5626.062385038,5628.636904695,5631.465605067,5632.029773298,0,2.405418069,2.779944219,0.3146326,2.924631918,4.332768656,12.656317284,1.695417853,1.871933896,1943.306545292,1933.321431485,1939.118072172,1933.793689887,1934.512071105,1934.845735682,1934.324535623,12430.698914487,12434.951633804,12430.573039716,12435.773850982,12431.274560195,12428.35529212,12434.425078623,12428.821384572,12433.398684573
