Sample_ID,Site,Date,Final_Shell 
PR18-1108-05,PR,11/8/18,34.1
PR18-1108-06,PR,11/8/18,38.3
PR18-1108-07,PR,11/8/18,42.2
PR18-1108-08,PR,11/8/18,20.1
PR18-1108-09,PR,11/8/18,34.7
PR18-1108-10,PR,11/8/18,38.4
PR18-1108-11,PR,11/8/18,33
PR18-1108-12,PR,11/8/18,38
PR18-1108-13,PR,11/8/18,32
PR18-1108-14,PR,11/8/18,31.1
PR18-1108-15,PR,11/8/18,50
PR18-1108-16,PR,11/8/18,32.7
PR18-1108-17,PR,11/8/18,37.2
PR18-1108-18,PR,11/8/18,42.5
PR18-1108-19,PR,11/8/18,33.2
PR18-1108-20,PR,11/8/18,37.6
PR18-1108-21,PR,11/8/18,31.1
PR18-1108-22,PR,11/8/18,25.1
PR18-1108-23,PR,11/8/18,35.25
PR18-1108-24,PR,11/8/18,35.3
PR18-1108-25,PR,11/8/18,30.8
PR18-1108-26,PR,11/8/18,37.2
PR18-1108-27,PR,11/8/18,38.75
PR18-1108-28,PR,11/8/18,34
PR18-1108-29,PR,11/8/18,54.1
PR18-1108-30,PR,11/8/18,40.7
PR18-1108-31,PR,11/8/18,32.3
PR18-1108-32,PR,11/8/18,32.3
PR18-1108-33,PR,11/8/18,33.2
PR18-1108-34,PR,11/8/18,22.9
PR18-1108-35,PR,11/8/18,27.1
PR18-1108-36,PR,11/8/18,32
PR18-1108-37,PR,11/8/18,32
PR18-1108-38,PR,11/8/18,33.3
PR18-1108-39,PR,11/8/18,37.8
PR18-1108-40,PR,11/8/18,27.2
PR18-1108-41,PR,11/8/18,34.4
PR18-1108-42,PR,11/8/18,29.3
PR18-1108-43,PR,11/8/18,34.5
PR18-1108-44,PR,11/8/18,39.7
PR18-1108-45,PR,11/8/18,34.6
PR18-1108-46,PR,11/8/18,33.9
PR18-1108-47,PR,11/8/18,30.2
PR18-1108-48,PR,11/8/18,36.4
PR18-1108-49,PR,11/8/18,41
PR18-1108-50,PR,11/8/18,41.1
PR18-1108-51,PR,11/8/18,33.2
PR18-1108-52,PR,11/8/18,47.1
UC18-1108-01,UC,11/8/18,42
UC18-1108-02,UC,11/8/18,37.7
UC18-1108-03,UC,11/8/18,41.4
UC18-1108-04,UC,11/8/18,41
UC18-1108-05,UC,11/8/18,47.3
UC18-1108-06,UC,11/8/18,57
UC18-1108-07,UC,11/8/18,50.3
UC18-1108-08,UC,11/8/18,45
UC18-1108-09,UC,11/8/18,49
UC18-1108-10,UC,11/8/18,47.95
UC18-1108-11,UC,11/8/18,37.45
UC18-1108-12,UC,11/8/18,30.2
UC18-1108-13,UC,11/8/18,26
UC18-1108-14,UC,11/8/18,31.35
UC18-1108-15,UC,11/8/18,38.1
UC18-1108-16,UC,11/8/18,36.1
UC18-1108-17,UC,11/8/18,56.5
UC18-1108-18,UC,11/8/18,36.2
UC18-1108-19,UC,11/8/18,42.6
UC18-1108-20,UC,11/8/18,43.9
UC18-1108-21,UC,11/8/18,36
UC18-1108-22,UC,11/8/18,49.9
UC18-1108-23,UC,11/8/18,43
UC18-1108-24,UC,11/8/18,59.75
UC18-1108-25,UC,11/8/18,45.6
UC18-1108-26,UC,11/8/18,46.3
UC18-1108-27,UC,11/8/18,32.7
UC18-1108-28,UC,11/8/18,40.1
UC18-1108-29,UC,11/8/18,36.6
UC18-1108-30,UC,11/8/18,47.85
UC18-1108-31,UC,11/8/18,43.95
UC18-1108-32,UC,11/8/18,39.3
UC18-1108-33,UC,11/8/18,52.2
UC18-1108-34,UC,11/8/18,40.1
UC18-1108-35,UC,11/8/18,37.7
UC18-1108-36,UC,11/8/18,39.55
UC18-1108-37,UC,11/8/18,49.9
UC18-1108-38,UC,11/8/18,45.35
UC18-1108-39,UC,11/8/18,47.8
UC18-1108-40,UC,11/8/18,43.7
UC18-1108-41,UC,11/8/18,42.65
UC18-1108-42,UC,11/8/18,41.5
VP18-1108-01,VIMS Pier,11/8/18,41.2
VP18-1108-02,VIMS Pier,11/8/18,39.1
VP18-1108-03,VIMS Pier,11/8/18,45.4
VP18-1108-04,VIMS Pier,11/8/18,44.8
VP18-1108-05,VIMS Pier,11/8/18,51.4
VP18-1108-06,VIMS Pier,11/8/18,40.8
VP18-1108-07,VIMS Pier,11/8/18,39.55
VP18-1108-08,VIMS Pier,11/8/18,41.8
VP18-1108-09,VIMS Pier,11/8/18,44
VP18-1108-10,VIMS Pier,11/8/18,45.9
VP18-1108-11,VIMS Pier,11/8/18,43.9
VP18-1108-12,VIMS Pier,11/8/18,49.9
VP18-1108-13,VIMS Pier,11/8/18,43.1
VP18-1108-14,VIMS Pier,11/8/18,33.6
VP18-1108-15,VIMS Pier,11/8/18,53.7
VP18-1108-16,VIMS Pier,11/8/18,41.7
VP18-1108-17,VIMS Pier,11/8/18,36.1
VP18-1108-18,VIMS Pier,11/8/18,48.1
VP18-1108-19,VIMS Pier,11/8/18,42.4
VP18-1108-20,VIMS Pier,11/8/18,34.7
VP18-1108-21,VIMS Pier,11/8/18,50.1
VP18-1108-22,VIMS Pier,11/8/18,31.2
VP18-1108-23,VIMS Pier,11/8/18,41.4
VP18-1108-24,VIMS Pier,11/8/18,43
VP18-1108-25,VIMS Pier,11/8/18,26.9
VP18-1108-26,VIMS Pier,11/8/18,53.8
VP18-1108-27,VIMS Pier,11/8/18,46.9
VP18-1108-28,VIMS Pier,11/8/18,36.7
VP18-1108-29,VIMS Pier,11/8/18,20
VP18-1108-30,VIMS Pier,11/8/18,50.4
VP18-1108-31,VIMS Pier,11/8/18,46.6
VP18-1108-32,VIMS Pier,11/8/18,27.8
VP18-1108-33,VIMS Pier,11/8/18,35.5
VP18-1108-34,VIMS Pier,11/8/18,28.85
VP18-1108-35,VIMS Pier,11/8/18,51.35
VP18-1108-36,VIMS Pier,11/8/18,42.4
VP18-1108-37,VIMS Pier,11/8/18,44
VP18-1108-38,VIMS Pier,11/8/18,51.2
VP18-1108-39,VIMS Pier,11/8/18,46.8
VP18-1108-40,VIMS Pier,11/8/18,38
VP18-1108-41,VIMS Pier,11/8/18,44.3
VP18-1108-42,VIMS Pier,11/8/18,42
VP18-1108-43,VIMS Pier,11/8/18,41.5
VP18-1108-44,VIMS Pier,11/8/18,37.2
VP18-1108-45,VIMS Pier,11/8/18,60.85
VP18-1108-46,VIMS Pier,11/8/18,31.4
