Sample_ID,Site,Date,EnvHist,Initial_Shell,Shell_Transform
PR18-0719-43,Piankatank,7/19/18,Distal,15,0.066666667
PR18-0719-44,Piankatank,7/19/18,Distal,16.5,0.060606061
PR18-0719-45,Piankatank,7/19/18,Distal,18.2,0.054945055
PR18-0719-46,Piankatank,7/19/18,Distal,12.6,0.079365079
PR18-0719-47,Piankatank,7/19/18,Distal,12.8,0.078125
PR18-0719-48,Piankatank,7/19/18,Distal,12.3,0.081300813
PR18-0719-49,Piankatank,7/19/18,Distal,18.1,0.055248619
PR18-0719-50,Piankatank,7/19/18,Distal,11.1,0.09009009
UC18-0719-01,Urbanna Creek,7/19/18,Distal,12.45,0.080321285
UC18-0719-02,Urbanna Creek,7/19/18,Distal,13.8,0.072463768
UC18-0719-03,Urbanna Creek,7/19/18,Distal,14.3,0.06993007
UC18-0719-04,Urbanna Creek,7/19/18,Distal,19.75,0.050632911
UC18-0719-05,Urbanna Creek,7/19/18,Distal,18.45,0.054200542
UC18-0719-06,Urbanna Creek,7/19/18,Distal,10.2,0.098039216
UC18-0719-07,Urbanna Creek,7/19/18,Distal,13.5,0.074074074
UC18-0719-08,Urbanna Creek,7/19/18,Distal,14.2,0.070422535
UC18-0719-09,Urbanna Creek,7/19/18,Distal,18.8,0.053191489
UC18-0719-10,Urbanna Creek,7/19/18,Distal,16.85,0.059347181
UC18-0719-11,Urbanna Creek,7/19/18,Distal,14,0.071428571
UC18-0719-12,Urbanna Creek,7/19/18,Distal,11.2,0.089285714
UC18-0719-13,Urbanna Creek,7/19/18,Distal,20.75,0.048192771
UC18-0719-14,Urbanna Creek,7/19/18,Distal,11.9,0.084033613
UC18-0719-15,Urbanna Creek,7/19/18,Distal,12.4,0.080645161
UC18-0719-16,Urbanna Creek,7/19/18,Distal,13.9,0.071942446
UC18-0719-17,Urbanna Creek,7/19/18,Distal,12.4,0.080645161
UC18-0719-18,Urbanna Creek,7/19/18,Distal,12.6,0.079365079
UC18-0719-19,Urbanna Creek,7/19/18,Distal,15.05,0.066445183
UC18-0719-20,Urbanna Creek,7/19/18,Distal,13,0.076923077
UC18-0719-21,Urbanna Creek,7/19/18,Distal,15.5,0.064516129
UC18-0719-22,Urbanna Creek,7/19/18,Distal,14.6,0.068493151
UC18-0719-23,Urbanna Creek,7/19/18,Distal,11.4,0.087719298
UC18-0719-24,Urbanna Creek,7/19/18,Distal,18.5,0.054054054
UC18-0719-25,Urbanna Creek,7/19/18,Distal,21.65,0.046189376
UC18-0719-26,Urbanna Creek,7/19/18,Distal,12.6,0.079365079
UC18-0719-27,Urbanna Creek,7/19/18,Distal,13.3,0.07518797
UC18-0719-28,Urbanna Creek,7/19/18,Distal,10.4,0.096153846
UC18-0719-29,Urbanna Creek,7/19/18,Distal,10.85,0.092165899
UC18-0719-30,Urbanna Creek,7/19/18,Distal,10.7,0.093457944
UC18-0719-31,Urbanna Creek,7/19/18,Distal,13.2,0.075757576
UC18-0719-32,Urbanna Creek,7/19/18,Distal,13.9,0.071942446
UC18-0719-33,Urbanna Creek,7/19/18,Distal,11.5,0.086956522
UC18-0719-34,Urbanna Creek,7/19/18,Distal,12.1,0.082644628
UC18-0719-35,Urbanna Creek,7/19/18,Distal,13.3,0.07518797
UC18-0719-36,Urbanna Creek,7/19/18,Distal,14.4,0.069444444
UC18-0719-37,Urbanna Creek,7/19/18,Distal,10.7,0.093457944
UC18-0719-38,Urbanna Creek,7/19/18,Distal,12,0.083333333
UC18-0719-39,Urbanna Creek,7/19/18,Distal,15.45,0.064724919
UC18-0719-40,Urbanna Creek,7/19/18,Distal,15.25,0.06557377
UC18-0719-41,Urbanna Creek,7/19/18,Distal,16.5,0.060606061
UC18-0719-42,Urbanna Creek,7/19/18,Distal,11.75,0.085106383
UC18-0719-43,Urbanna Creek,7/19/18,Distal,13.05,0.076628352
UC18-0719-44,Urbanna Creek,7/19/18,Distal,10.7,0.093457944
UC18-0719-45,Urbanna Creek,7/19/18,Distal,10.65,0.093896714
UC18-0719-46,Urbanna Creek,7/19/18,Distal,13.5,0.074074074
UC18-0719-47,Urbanna Creek,7/19/18,Distal,13.45,0.074349442
UC18-0719-48,Urbanna Creek,7/19/18,Distal,10.65,0.093896714
UC18-0719-49,Urbanna Creek,7/19/18,Distal,16,0.0625
UC18-0719-50,Urbanna Creek,7/19/18,Distal,14.2,0.070422535
VP18-0723-01,VIMS Pier,7/23/18,Distal,14.9,0.067114094
VP18-0723-02,VIMS Pier,7/23/18,Distal,14.4,0.069444444
VP18-0723-03,VIMS Pier,7/23/18,Distal,14.8,0.067567568
VP18-0723-04,VIMS Pier,7/23/18,Distal,19,0.052631579
VP18-0723-05,VIMS Pier,7/23/18,Distal,18.4,0.054347826
VP18-0723-06,VIMS Pier,7/23/18,Distal,16.8,0.05952381
VP18-0723-07,VIMS Pier,7/23/18,Distal,14.2,0.070422535
VP18-0723-08,VIMS Pier,7/23/18,Distal,11.3,0.088495575
VP18-0723-09,VIMS Pier,7/23/18,Distal,13.4,0.074626866
VP18-0723-10,VIMS Pier,7/23/18,Distal,16.2,0.061728395
VP18-0723-11,VIMS Pier,7/23/18,Distal,11.5,0.086956522
VP18-0723-12,VIMS Pier,7/23/18,Distal,17.4,0.057471264
VP18-0723-13,VIMS Pier,7/23/18,Distal,14.6,0.068493151
VP18-0723-14,VIMS Pier,7/23/18,Distal,10.6,0.094339623
VP18-0723-15,VIMS Pier,7/23/18,Distal,11.2,0.089285714
VP18-0723-16,VIMS Pier,7/23/18,Distal,22.8,0.043859649
VP18-0723-17,VIMS Pier,7/23/18,Distal,1.4,0.714285714
VP18-0723-18,VIMS Pier,7/23/18,Distal,11.9,0.084033613
VP18-0723-19,VIMS Pier,7/23/18,Distal,18.2,0.054945055
VP18-0723-20,VIMS Pier,7/23/18,Distal,18.8,0.053191489
VP18-0723-21,VIMS Pier,7/23/18,Distal,17.9,0.055865922
VP18-0723-22,VIMS Pier,7/23/18,Distal,20.2,0.04950495
VP18-0723-23,VIMS Pier,7/23/18,Distal,12,0.083333333
VP18-0723-24,VIMS Pier,7/23/18,Distal,17.2,0.058139535
VP18-0723-25,VIMS Pier,7/23/18,Distal,12.3,0.081300813
VP18-0723-26,VIMS Pier,7/23/18,Distal,17.1,0.058479532
VP18-0723-27,VIMS Pier,7/23/18,Distal,13,0.076923077
VP18-0723-28,VIMS Pier,7/23/18,Distal,10,0.1
VP18-0723-29,VIMS Pier,7/23/18,Distal,12.7,0.078740157
VP18-0723-30,VIMS Pier,7/23/18,Distal,13.2,0.075757576
VP18-0723-31,VIMS Pier,7/23/18,Distal,12.9,0.07751938
VP18-0723-32,VIMS Pier,7/23/18,Distal,12.4,0.080645161
VP18-0723-33,VIMS Pier,7/23/18,Distal,17.9,0.055865922
VP18-0723-34,VIMS Pier,7/23/18,Distal,16.5,0.060606061
VP18-0723-35,VIMS Pier,7/23/18,Distal,16.2,0.061728395
VP18-0723-36,VIMS Pier,7/23/18,Distal,14.9,0.067114094
VP18-0723-37,VIMS Pier,7/23/18,Distal,14.2,0.070422535
VP18-0723-38,VIMS Pier,7/23/18,Distal,12.4,0.080645161
VP18-0723-39,VIMS Pier,7/23/18,Distal,20.5,0.048780488
VP18-0723-40,VIMS Pier,7/23/18,Distal,14.2,0.070422535
VP18-0723-41,VIMS Pier,7/23/18,Distal,17.8,0.056179775
VP18-0723-42,VIMS Pier,7/23/18,Distal,16,0.0625
VP18-0723-43,VIMS Pier,7/23/18,Distal,18.6,0.053763441
VP18-0723-44,VIMS Pier,7/23/18,Distal,14,0.071428571
VP18-0723-45,VIMS Pier,7/23/18,Distal,11.3,0.088495575
VP18-0723-46,VIMS Pier,7/23/18,Distal,17.2,0.058139535
VP18-0723-47,VIMS Pier,7/23/18,Distal,19.2,0.052083333
VP18-0723-48,VIMS Pier,7/23/18,Distal,14.7,0.068027211
VP18-0723-49,VIMS Pier,7/23/18,Distal,18.5,0.054054054
VP18-0723-50,VIMS Pier,7/23/18,Distal,5.6,0.178571429
MR18-1108-24,MR,11/8/18,Proximal,49.1,0.020366599
MR18-1108-25,MR,11/8/18,Proximal,47.9,0.020876827
MR18-1108-26,MR,11/8/18,Proximal,27.7,0.036101083
MR18-1108-27,MR,11/8/18,Proximal,35.4,0.028248588
MR18-1108-28,MR,11/8/18,Proximal,43,0.023255814
MR18-1108-29,MR,11/8/18,Proximal,41,0.024390244
MR18-1108-30,MR,11/8/18,Proximal,36.7,0.027247956
MR18-1108-31,MR,11/8/18,Proximal,45.4,0.022026432
MR18-1108-32,MR,11/8/18,Proximal,49.55,0.020181635
MR18-1108-33,MR,11/8/18,Proximal,43.4,0.023041475
MR18-1108-34,MR,11/8/18,Proximal,33.5,0.029850746
MR18-1108-35,MR,11/8/18,Proximal,48,0.020833333
MR18-1108-36,MR,11/8/18,Proximal,43.1,0.023201856
MR18-1108-37,MR,11/8/18,Proximal,34.8,0.028735632
MR18-1108-38,MR,11/8/18,Proximal,35.3,0.028328612
MR18-1108-39,MR,11/8/18,Proximal,33.7,0.029673591
MR18-1108-40,MR,11/8/18,Proximal,40.8,0.024509804
MR18-1108-41,MR,11/8/18,Proximal,46.2,0.021645022
MR18-1108-42,MR,11/8/18,Proximal,40.6,0.024630542
MR18-1108-43,MR,11/8/18,Proximal,39.7,0.025188917
MR18-1108-44,MR,11/8/18,Proximal,37.7,0.026525199
MR18-1108-45,MR,11/8/18,Proximal,38.2,0.02617801
MR18-1108-46,MR,11/8/18,Proximal,42.35,0.023612751
PR18-1108-24,PR,11/8/18,Proximal,35.3,0.028328612
PR18-1108-25,PR,11/8/18,Proximal,30.8,0.032467532
PR18-1108-26,PR,11/8/18,Proximal,37.2,0.02688172
PR18-1108-27,PR,11/8/18,Proximal,38.75,0.025806452
PR18-1108-28,PR,11/8/18,Proximal,34,0.029411765
PR18-1108-29,PR,11/8/18,Proximal,54.1,0.018484288
PR18-1108-30,PR,11/8/18,Proximal,40.7,0.024570025
PR18-1108-31,PR,11/8/18,Proximal,32.3,0.030959752
PR18-1108-32,PR,11/8/18,Proximal,32.3,0.030959752
PR18-1108-33,PR,11/8/18,Proximal,33.2,0.030120482
PR18-1108-34,PR,11/8/18,Proximal,22.9,0.043668122
PR18-1108-35,PR,11/8/18,Proximal,27.1,0.036900369
PR18-1108-36,PR,11/8/18,Proximal,32,0.03125
PR18-1108-37,PR,11/8/18,Proximal,32,0.03125
PR18-1108-38,PR,11/8/18,Proximal,33.3,0.03003003
PR18-1108-39,PR,11/8/18,Proximal,37.8,0.026455026
PR18-1108-40,PR,11/8/18,Proximal,27.2,0.036764706
PR18-1108-41,PR,11/8/18,Proximal,34.4,0.029069767
PR18-1108-42,PR,11/8/18,Proximal,29.3,0.034129693
PR18-1108-43,PR,11/8/18,Proximal,34.5,0.028985507
PR18-1108-44,PR,11/8/18,Proximal,39.7,0.025188917
PR18-1108-45,PR,11/8/18,Proximal,34.6,0.028901734
PR18-1108-46,PR,11/8/18,Proximal,33.9,0.029498525
PR18-1108-47,PR,11/8/18,Proximal,30.2,0.033112583
PR18-1108-48,PR,11/8/18,Proximal,36.4,0.027472527
PR18-1108-49,PR,11/8/18,Proximal,41,0.024390244
PR18-1108-50,PR,11/8/18,Proximal,41.1,0.0243309
PR18-1108-51,PR,11/8/18,Proximal,33.2,0.030120482
PR18-1108-52,PR,11/8/18,Proximal,47.1,0.021231423
UC18-1108-22,UC,11/8/18,Proximal,49.9,0.02004008
UC18-1108-23,UC,11/8/18,Proximal,43,0.023255814
UC18-1108-24,UC,11/8/18,Proximal,59.75,0.016736402
UC18-1108-25,UC,11/8/18,Proximal,45.6,0.021929825
UC18-1108-26,UC,11/8/18,Proximal,46.3,0.021598272
UC18-1108-27,UC,11/8/18,Proximal,32.7,0.03058104
UC18-1108-28,UC,11/8/18,Proximal,40.1,0.024937656
UC18-1108-29,UC,11/8/18,Proximal,36.6,0.027322404
UC18-1108-30,UC,11/8/18,Proximal,47.85,0.020898642
UC18-1108-31,UC,11/8/18,Proximal,43.95,0.022753129
UC18-1108-32,UC,11/8/18,Proximal,39.3,0.025445293
UC18-1108-33,UC,11/8/18,Proximal,52.2,0.019157088
UC18-1108-34,UC,11/8/18,Proximal,40.1,0.024937656
UC18-1108-35,UC,11/8/18,Proximal,37.7,0.026525199
UC18-1108-36,UC,11/8/18,Proximal,39.55,0.02528445
UC18-1108-37,UC,11/8/18,Proximal,49.9,0.02004008
UC18-1108-38,UC,11/8/18,Proximal,45.35,0.022050717
UC18-1108-39,UC,11/8/18,Proximal,47.8,0.020920502
UC18-1108-40,UC,11/8/18,Proximal,43.7,0.022883295
UC18-1108-41,UC,11/8/18,Proximal,42.65,0.023446659
UC18-1108-42,UC,11/8/18,Proximal,41.5,0.024096386
VP18-1108-24,VIMS Pier,11/8/18,Proximal,43,0.023255814
VP18-1108-25,VIMS Pier,11/8/18,Proximal,26.9,0.037174721
VP18-1108-26,VIMS Pier,11/8/18,Proximal,53.8,0.018587361
VP18-1108-27,VIMS Pier,11/8/18,Proximal,46.9,0.021321962
VP18-1108-28,VIMS Pier,11/8/18,Proximal,36.7,0.027247956
VP18-1108-29,VIMS Pier,11/8/18,Proximal,20,0.05
VP18-1108-30,VIMS Pier,11/8/18,Proximal,50.4,0.01984127
VP18-1108-31,VIMS Pier,11/8/18,Proximal,46.6,0.021459227
VP18-1108-32,VIMS Pier,11/8/18,Proximal,27.8,0.035971223
VP18-1108-33,VIMS Pier,11/8/18,Proximal,35.5,0.028169014
VP18-1108-34,VIMS Pier,11/8/18,Proximal,28.85,0.034662045
VP18-1108-35,VIMS Pier,11/8/18,Proximal,51.35,0.019474197
VP18-1108-36,VIMS Pier,11/8/18,Proximal,42.4,0.023584906
VP18-1108-37,VIMS Pier,11/8/18,Proximal,44,0.022727273
VP18-1108-38,VIMS Pier,11/8/18,Proximal,51.2,0.01953125
VP18-1108-39,VIMS Pier,11/8/18,Proximal,46.8,0.021367521
VP18-1108-40,VIMS Pier,11/8/18,Proximal,38,0.026315789
VP18-1108-41,VIMS Pier,11/8/18,Proximal,44.3,0.022573363
VP18-1108-42,VIMS Pier,11/8/18,Proximal,42,0.023809524
VP18-1108-43,VIMS Pier,11/8/18,Proximal,41.5,0.024096386
VP18-1108-44,VIMS Pier,11/8/18,Proximal,37.2,0.02688172
VP18-1108-45,VIMS Pier,11/8/18,Proximal,60.85,0.016433854
VP18-1108-46,VIMS Pier,11/8/18,Proximal,31.4,0.031847134
