Sample_ID,Site,Number,P_Glycogen_DW,Log_Gly,P_ChangeGly_DW,Log_Delta_Gly,EnvHist,ConditionIndex,Log_CI,Delta_CI,Log_Delta_CI
MR-1-01-G,Merroir,1,4.913322978,0.691375313,,,Proximal,7.278445806,0.862038653,,
MR-1-02-G,Merroir,1,17.94990404,1.254062131,,,Proximal,5.629086404,0.750437915,,
MR-1-03-G,Merroir,1,5.870480387,0.768673641,,,Proximal,7.811697261,0.892745404,,
MR-1-04-G,Merroir,1,12.89535554,1.110433321,,,Proximal,5.563359615,0.745337134,,
MR-1-05-G,Merroir,1,9.714324496,0.987412606,,,Proximal,4.747454614,0.676460822,,
MR-1-06-G,Merroir,1,9.696675252,0.986622851,,,Proximal,6.830093119,0.834426625,,
MR-1-07-G,Merroir,1,8.203383358,0.913993007,,,Proximal,5.748865356,0.759582137,,
MR-1-08-G,Merroir,1,18.71443249,1.272176662,,,Proximal,5.196051252,0.715673426,,
MR-1-09-G,Merroir,1,4.982199812,0.697421141,,,Proximal,5.577180299,0.746414685,,
PR-1-01-G,Piankatank,2,12.32096479,1.090644716,,,Proximal,7.154188619,0.854560386,,
PR-1-02-G,Piankatank,2,13.31540266,1.124354304,,,Proximal,5.74320842,0.759154577,,
PR-1-03-G,Piankatank,2,9.898860888,0.995585221,,,Proximal,7.512028936,0.875757252,,
PR-1-04-G,Piankatank,2,12.02800606,1.080193638,,,Proximal,7.132514749,0.853242678,,
PR-1-05-G,Piankatank,2,14.32531282,1.156104114,,,Proximal,8.074472507,0.90711416,,
PR-1-06-G,Piankatank,2,15.08006454,1.1784032,,,Proximal,8.727857525,0.940907648,,
PR-1-07-G,Piankatank,2,24.42961748,1.387916667,,,Proximal,7.701853213,0.886595237,,
PR-1-08-G,Piankatank,2,12.60424036,1.100516676,,,Proximal,5.742046336,0.759066693,,
PR-1-09-G,Piankatank,2,12.53136887,1.097998514,,,Proximal,5.492658803,0.739782622,,
UC-1-01-G,Urbana Creek,3,23.15526678,1.364649789,,,Proximal,5.907945317,0.771436467,,
UC-1-02-G,Urbana Creek,3,10.5737727,1.02422997,,,Proximal,7.502428014,0.875201837,,
UC-1-03-G,Urbana Creek,3,4.469969581,0.650304568,,,Proximal,7.113111656,0.852059626,,
UC-1-04-G,Urbana Creek,3,14.59622873,1.16424066,,,Proximal,6.861762672,0.836435693,,
UC-1-05-G,Urbana Creek,3,10.04591466,1.001989485,,,Proximal,8.165209594,0.911967337,,
UC-1-06-G,Urbana Creek,3,8.927234791,0.950716957,,,Proximal,7.380194302,0.868067796,,
UC-1-07-G,Urbana Creek,3,9.940842722,0.997423203,,,Proximal,6.435775064,0.808600857,,
VP-1-01-G,VIMS Pier,4,9.071990544,0.957702589,,,Proximal,4.190248378,0.622239767,,
VP-1-02-G,VIMS Pier,4,3.944838182,0.596029193,,,Proximal,5.064681423,0.704552133,,
VP-1-03-G,VIMS Pier,4,9.838338941,0.99292178,,,Proximal,3.549774752,0.550200796,,
VP-1-04-G,VIMS Pier,4,4.527101999,0.65582028,,,Proximal,3.660200428,0.563504867,,
VP-1-05-G,VIMS Pier,4,8.042498276,0.905390976,,,Proximal,4.644094938,0.666901089,,
VP-1-06-G,VIMS Pier,4,14.0061143,1.146317666,,,Proximal,4.970046009,0.696360409,,
VP-1-07-G,VIMS Pier,4,5.475020399,0.738385742,,,Proximal,4.061054387,0.608638806,,
VP-1-08-G,VIMS Pier,4,13.50400305,1.130462527,,,Proximal,4.001842307,0.602259971,,
VP-1-09-G,VIMS Pier,4,6.959990056,0.842608619,,,Proximal,3.60247878,0.556601431,,
