Site,Treatment,FRAPavg1,FRAPse1,FRAPavg2,FRAPse2,dFRAPavg,dFRAPse
Merroir,Ambient,0.913060687,0.154563278,0.984398665,0.094802475,0.071337978,0.094802475
Merroir,Low,1.068234487,0.089186487,0.971853043,0.080731402,-0.096381443,0.080731402
Piankatank ,Ambient,1.159845976,0.069883533,0.993904311,0.073954207,-0.165941666,0.073954207
Piankatank ,Low,1.296992258,0.092288877,0.905065022,0.05085111,-0.391927236,0.05085111
Urbanna Creek,Ambient,1.104967328,0.108288914,1.104754188,0.046807389,-0.00021314,0.046807389
Urbanna Creek,Low,1.074162853,0.14380198,0.990383888,0.061493613,-0.083778966,0.061493613
VIMS Pier ,Ambient,0.813973451,0.066251295,0.762046221,0.116127571,-0.05192723,0.116127571
VIMS Pier ,Low,0.773860862,0.048074507,0.953674267,0.157541924,0.179813405,0.157541924
