Site,FRAPavg1,FRAPse1,FRAPavg2,FRAPse2,dFRAPavg,dFRAPse
Merroir,0.990647587,0.088282707,0.978125854,0.059842456,-0.012521733,0.06417983
Piankatank ,1.228419117,0.058772777,0.949484667,0.044840131,-0.278934451,0.053300707
Urbanna Creek,1.08956509,0.086581986,1.047569038,0.040370714,-0.041996053,0.038891367
VIMS Pier ,0.793917156,0.039713815,0.857860244,0.097702665,0.063943088,0.099359929
