Site,Treatment,FRAPavg1,FRAPse1,FRAPavg2,FRAPse2,dFRAPavg,dFRAPse
Merroir,Ambient,71.14552799,21.37703637,56.01795972,8.3913077,-15.12757,8.3913077
Merroir,Low,60.04367534,1.58060886,57.58089645,3.980407299,-2.462779,3.9804073
Piankatank ,Ambient,59.59180399,3.535727308,61.94481428,6.332772161,2.3530103,6.3327722
Piankatank ,Low,56.93803938,2.696581803,59.12423671,2.701103166,1.1862063,2.7011032
Urbanna Creek,Ambient,51.91286276,4.982281472,59.96399416,2.018783209,8.0511314,2.0178732
Urbanna Creek,Low,58.36548879,5.523141089,63.45098513,5.616093405,5.0854963,5.6160934
VIMS Pier ,Ambient,55.10358951,2.793379172,65.93090544,3.886956081,10.827316,3.8869561
VIMS Pier ,Low,58.61993694,4.727247741,64.89821956,3.558745486,6.2782826,3.5587455
