Site,Date,Temperature,Salinity,Conductivity,pH,DO_mg,DO_Percent,specpH,TA,pCO2,Omega_Ar,Omega_Ca,spec_pH_old,pCO2_old,Omega_Ca_old,Omega_Ar_old,Sal_recrip_transform
PR,9/17/18,26.4,14.94,25327,7.6,3.02,40.7,7.523839032,1582.667,1331.898569,0.560931391,0.930400453,7.606,1586.2953,1.014126,0.61148,0.066934404
PR,10/4/18,27.2,7.55,13718,7.66,5.2,68.7,7.574636038,1397.4,1188.666429,0.463497114,0.805417417,7.489,1879.121427,0.857846667,0.49373,0.132450331
PR,10/18/18,20.9,3.74,6281,7.24,5.63,63.7,6.895584837,738.655,3189.04295,0.033916371,0.060203084,6.737,11658.67808,0.10614,0.059803333,0.267379679
PR,11/1/18,17,4.93,7103,7.94,11.23,121.5,7.589594378,1303.72,1059.046312,0.255877589,0.458334847,7.46636,1415.8543,0.347303,0.19389,0.202839757
PR,11/8/18,17.2,8.15,11779,7.44,7,76,7.606934975,1179.09,865.1781074,0.272779204,0.48309544,7.533233,1020.1008,0.409716,0.231343,0.122699387
UC,7/19/18,28.1,9.88,17881,7.6,4.83,65,7.487280711,1403.735,1415.635641,0.427989572,0.73195619,7.689,2099.0494,0.8205166,0.47982,0.101214575
UC,7/26/18,25.5,8.69,15724,7.76,7.75,97,7.784227837,1323.145,656.484503,0.664244098,1.151660634,7.427,1139.7301,1.38606,0.80312,0.115074799
UC,8/9/18,29.5,5.78,11159,7.73,5.43,73.8,7.607855915,1002.905,825.106092,0.375741927,0.654191692,7.489,1969.4697,0.90429,0.51945,0.173010381
UC,8/23/18,27.6,10.11,18120,7.76,5.67,75.7,7.587483776,1392.589,1096.407785,0.521138264,0.891031119,7.817,1625.3153,1.01648,0.594583,0.098911968
UC,9/6/18,31.5,9.68,18827,8.12,4.66,66.4,7.8806602,1384.7795,541.8043724,1.137532911,1.931127474,7.531,826.93864,2.20346,1.2981033,0.103305785
UC,9/17/18,26.4,14.94,25327,7.6,3.02,40.7,7.523839032,1582.667,1331.898569,0.560931391,0.930400453,7.606,1586.2953,1.014126,0.61148,0.066934404
UC,10/4/18,26,7.01,12553,8.07,6.24,79.5,7.857811956,1161.615,498.4849902,0.66427059,1.160532719,7.76586,624.59006,0.9519033,0.5448533,0.142653352
UC,10/18/18,20.4,6.23,10946,7.66,7.77,84.4,7.798202488,1081.675,530.7115584,0.413089956,0.732864917,7.698,1125.98921,0.97831,0.977399667,0.160513644
UC,11/1/18,16.2,9.33,13184,8.2,11.09,121.8,7.979317074,1354.785,393.0986582,0.703658133,1.240483329,7.9235067,451.10684,1.100516,0.62426,0.107181136
UC,11/8/18,16.3,9,12852,7.76,8.54,91,7.924397016,1201.6675,401.5120387,0.551026269,0.973087996,7.863867,465.49996,0.853373,0.4832367,0.111111111
