Date,Time,Sample_ID,Treatment,Site,Replicate,Sample_number,DO_mg,DO_P,Temp,Sal,Cond,YSIpH,spec_pH,TA,pCO2,OmegaCa
12/14/18,21:53,UC-2-07-A,Ambient,Urbanna Creek,7,32,11.72,107.2,8.3,11.86,13600,7.66,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,22:28,MR-2-03-A,Ambient,Merroir,3,49,11.84,109,8.3,11.86,13616,7.65,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,22:33,UC-2-05-A,Ambient,Urbanna Creek,5,53,11.59,107.1,8.7,11.86,13762,7.63,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,22:36,MR-2-01-A,Ambient,Merroir,1,56,11.53,107.1,9,11.86,13844,7.56,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,20:41,PR-2-04-A,Ambient,Piankatank,4,4,14.6,148.1,8.2,11.87,13594,7.7,7.70824284,1259.415,642.023599,0.48992451
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,20:54,VP-2-04-A,Ambient,VIMS Pier,4,12,11.45,106,8.8,11.87,13837,7.5,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
12/14/18,21:22,VP-2-06-A,Ambient,VIMS Pier,6,17,12,111.8,8.3,11.87,13700,7.69,,,,
12/14/18,7:33,All-A,Ambient,Sump,1,Sump,9.85,101.9,14.2,11.85,15747,7.76,7.81478844,1305.05,534.892798,0.82123942
