Date,Time,Sample_ID,Treatment ,Site,Replicate,Sample_Number,DO_mg,DO_P,Temp,Sal,spec_pH,TA,pCO2,OmegaCa
11/9/18,21:58,PR-1-06-L,Low,Piankatank,6,33,9.07,96.4,16.8,5.54,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:33,UC-1-07-L,Low,Urbanna Creek,7,47,9.04,96.6,16.8,5.54,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:07,PR-1-01-L,Low,Piankatank,1,15,9.2,99.6,16.8,5.55,7.42116771,457.995,544.087328,0.11165018
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:54,MR-1-05-L,Low,Merroir,5,30,9.19,98.3,16.8,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:56,UC-1-01-L,Low,Urbanna Creek,1,31,9.11,97.3,16.7,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:01,UC-1-04-L,Low,Urbanna Creek,4,35,9.81,97.9,16.7,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:05,MR-1-07-L,Low,Merroir,7,38,9.03,96.4,16.8,5.55,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:19,UC-1-05-L,Low,Urbanna Creek,5,19,9.08,97.1,16.9,5.56,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:32,UC-1-03-L,Low,Urbanna Creek,3,27,9.01,97.4,16.9,5.56,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:36,VP-1-07-L,Low,VIMS Pier,7,50,9.21,98.3,16.8,5.56,7.52018469,598.23,563.348316,0.18249394
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:57,MR-1-02-L,Low,Merroir,2,32,9.13,97.4,16.7,5.57,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:14,UC-1-06-L,Low,Urbanna Creek,6,16,9.14,98,16.8,5.58,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:28,MR-1-04-L,Low,Merroir,4,25,8.5,90.9,16.8,5.58,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:44,PR-1-05-L,Low,Piankatank,5,55,9.08,96.7,16.8,5.58,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:16,PR-1-03-L,Low,Piankatank,3,17,9.14,97.5,16.8,5.59,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:35,VP-1-04-L,Low,VIMS Pier,4,49,9.11,97.1,16.7,5.59,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,20:41,PR-1-02-L,Low,Piankatank,2,10,9.36,101.5,16.9,5.6,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,20:56,PR-1-04-L,Low,Piankatank,4,14,9.2,98.7,17,5.6,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,21:52,UC-1-02-L,Low,Urbanna Creek,2,29,9.34,100.1,16.8,5.6,7.255403333,390.215,682.52459,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,20:16,MR-1-01-L,Low,Merroir,1,4,9.07,96.9,16.8,5.61,,,,
11/9/18,8:03,Low Sump,Low,Sump,1,sump,9.16,100,18.3,5.47,7.51465286,486.435,567.885078,0.6070332
11/9/18,22:09,VP-1-06-L,Low,VIMS Pier,6,41,8.87,94.6,16.8,5.61,,,,
