"Date","Sample","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"7/26/17","MR17-0726",8,15.9,28.9,1,0,7.79167146663676,2.11324105115735e-05,743.535293265797,745.806667490803,743.535293265797,745.806667490803,743.535293265797,745.80667351672,0.00155726468729357,7.05691241697469e-05,0.0016489662219749,0.00172207728,1.23717183021276,2.02473147482645
"8/31/17","MR17-0831",8,15.72,26.5,1,0,7.91236526896764,1.55264219397331e-05,514.162212272627,515.778627162377,514.162212272627,515.778627162377,514.162212272627,515.778630190888,0.00144078755711121,7.85566545278162e-05,0.00153487063357876,0.001625814496,1.34994890115755,2.22648951808828
"9/28/17","MR17-0928",8,19.2,25.8,1,0,7.68582165171303,2.63808114599944e-05,873.677156775954,876.448407185347,873.677156775954,876.448407185347,873.677156775954,876.448416058479,0.00152308303115977,5.37040802475778e-05,0.00160316792286734,0.00165252846,0.909582598242554,1.46885631117056
"10/27/17","MR17-1027",8,17.96,17.6,1,0,7.86806734004882,2.10807368843428e-05,553.396514728202,555.338433485114,553.396514728202,555.338433485114,553.396514728202,555.33843771208,0.0015307006922112,5.81890124161192e-05,0.00160997044151167,0.00167052939,0.93563062050875,1.55384091648184
"11/22/17","MR17-1122",8,17.95,11,1,0,7.87560843425871,2.47223459201245e-05,528.036925165222,530.052530410773,528.036925165222,530.052530410773,528.036925165222,530.052534838404,0.00156126761826501,4.6812492516187e-05,0.00163280245670132,0.00167462256,0.72839519860866,1.22589926834514
"12/27/17","MR17-1227",8,18.76,5.9,1,0,7.95545818609089,2.30454924024932e-05,414.990825683904,416.683968237776,414.990825683904,416.683968237776,414.990825683904,416.683971289483,0.00154990910584003,4.68143395232094e-05,0.00161976893776573,0.00166488312,0.715736265103198,1.20854437892591
"1/25/18","MR18-0125",8,18.75,5.5,1,0,7.95599708928366,2.35335215462832e-05,417.706884157882,419.420157231592,417.706884157882,419.420157231592,417.706884157882,419.420160350244,0.00156697720287435,4.66191688753774e-05,0.00163712989329601,0.00168132093,0.711922081367592,1.20287341830532
"2/28/18","MR18-0228",8,17.18,10.4,1,0,7.89410656756773,2.28224768838925e-05,475.750609186207,477.580692803506,475.750609186207,477.580692803506,475.750609186207,477.580696444129,0.00146171656267302,4.35866732757619e-05,0.00152812571283268,0.00156791958,0.676290368679578,1.14503149099219
"3/8/18","MR18-0308",8,16.49,8.1,1,0,7.93736621691963,2.18493046437792e-05,419.549309968038,421.212213442544,419.549309968038,421.212213442544,419.549309968038,421.212216417106,0.00143852784040967,4.23218199495073e-05,0.00150269896500296,0.001541647714,0.650372678887998,1.1104150324609
"4/12/18","MR18-0412",8,16.43,11.9,1,0,7.85224425504803,2.46818747505518e-05,538.258026917796,540.28893469529,538.258026917796,540.28893469529,538.258026917796,540.28893920837,0.00147106450347846,4.12296654342293e-05,0.00153697604366324,0.00157067508,0.643880308833228,1.09250438946398
"5/10/18","MR18-0510",8,15.45,21.4,1,0,8.18982201306801,8.63128407311586e-06,249.230332495453,250.064121323782,249.230332495453,250.064121323782,249.230332495453,250.064122115252,0.00136479517027374,0.000115763183444606,0.00148918963779146,0.0016372018,1.91382978546692,3.2031359190065
"6/12/18","MR18-0612",8,9.32,24.2,1,0,7.78129576224966,2.65779661553318e-05,801.846677826635,804.439994633743,801.846677826635,804.439994633743,801.846677826635,804.440002361033,0.00153552480709783,4.56211037704693e-05,0.00160772387702364,0.0016372018,0.786662733740418,1.36291656778958
