Date,Sample,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
7/26/17,MR17-0726,8,15.9,28.9,1,0,7.791671467,2.11E-05,743.5352933,745.8066675,743.5352933,745.8066675,743.5352933,745.8066735,0.001557265,7.06E-05,0.001648966,0.001722077,1.23717183,2.024731475
8/31/17,MR17-0831,8,15.72,26.5,1,0,7.912365269,1.55E-05,514.1622123,515.7786272,514.1622123,515.7786272,514.1622123,515.7786302,0.001440788,7.86E-05,0.001534871,0.001625814,1.349948901,2.226489518
9/28/17,MR17-0928,8,19.2,25.8,1,0,7.685821652,2.64E-05,873.6771568,876.4484072,873.6771568,876.4484072,873.6771568,876.4484161,0.001523083,5.37E-05,0.001603168,0.001652528,0.909582598,1.468856311
10/27/17,MR17-1027,8,17.96,17.6,1,0,7.86806734,2.11E-05,553.3965147,555.3384335,553.3965147,555.3384335,553.3965147,555.3384377,0.001530701,5.82E-05,0.00160997,0.001670529,0.935630621,1.553840916
11/22/17,MR17-1122,8,17.95,11,1,0,7.875608434,2.47E-05,528.0369252,530.0525304,528.0369252,530.0525304,528.0369252,530.0525348,0.001561268,4.68E-05,0.001632802,0.001674623,0.728395199,1.225899268
12/27/17,MR17-1227,8,18.76,5.9,1,0,7.955458186,2.30E-05,414.9908257,416.6839682,414.9908257,416.6839682,414.9908257,416.6839713,0.001549909,4.68E-05,0.001619769,0.001664883,0.715736265,1.208544379
1/25/18,MR18-0125,8,18.75,5.5,1,0,7.955997089,2.35E-05,417.7068842,419.4201572,417.7068842,419.4201572,417.7068842,419.4201604,0.001566977,4.66E-05,0.00163713,0.001681321,0.711922081,1.202873418
2/28/18,MR18-0228,8,17.18,10.4,1,0,7.894106568,2.28E-05,475.7506092,477.5806928,475.7506092,477.5806928,475.7506092,477.5806964,0.001461717,4.36E-05,0.001528126,0.00156792,0.676290369,1.145031491
3/8/18,MR18-0308,8,16.49,8.1,1,0,7.937366217,2.18E-05,419.54931,421.2122134,419.54931,421.2122134,419.54931,421.2122164,0.001438528,4.23E-05,0.001502699,0.001541648,0.650372679,1.110415032
4/12/18,MR18-0412,8,16.43,11.9,1,0,7.852244255,2.47E-05,538.2580269,540.2889347,538.2580269,540.2889347,538.2580269,540.2889392,0.001471065,4.12E-05,0.001536976,0.001570675,0.643880309,1.092504389
5/10/18,MR18-0510,8,15.45,21.4,1,0,8.189822013,8.63E-06,249.2303325,250.0641213,249.2303325,250.0641213,249.2303325,250.0641221,0.001364795,0.000115763,0.00148919,0.001637202,1.913829785,3.203135919
6/12/18,MR18-0612,8,9.32,24.2,1,0,7.781295762,2.66E-05,801.8466778,804.4399946,801.8466778,804.4399946,801.8466778,804.4400024,0.001535525,4.56E-05,0.001607724,0.001637202,0.786662734,1.362916568
7/7/17,VP17-0707,8,21.5,28,1,0,7.702062745,2.51E-05,888.3833084,891.127189,888.3833084,891.127189,888.3833084,891.1271978,0.001624911,6.91E-05,0.001719119,0.00179135,1.182956088,1.872327577
8/4/17,VP17-0804,8,21.71,27.3,1,0,7.711578251,2.52E-05,876.5618287,879.2921347,876.5618287,879.2921347,876.5618287,879.2921434,0.001649452,7.04E-05,0.001744969,0.00181873,1.197265341,1.896517985
9/22/17,VP17-0922,8,20.63,25.1,1,0,7.750931215,2.39E-05,784.1716596,786.6800346,784.1716596,786.6800346,784.1716596,786.6800418,0.001620351,6.76E-05,0.001711881,0.001782785,1.135463518,1.821136559
10/6/17,VP17-1006,8,19.78,23.9,1,0,7.83676061,1.98E-05,625.3964178,627.4260944,625.3964178,627.4260944,625.3964178,627.4260991,0.001572748,7.45E-05,0.001667065,0.0017516,1.243852782,2.011632059
11/3/17,VP17-1103,8,21.42,20,1,0,8.016105739,1.39E-05,397.7149172,399.0690096,397.7149172,399.0690096,397.7149172,399.0690117,0.001578378,0.000102772,0.001695022,0.00182653,1.669101039,2.699892206
12/1/17,VP17-1201,8,21.63,13.2,1,0,7.958888575,1.52E-05,356.9183555,358.2424746,356.9183555,358.2424746,356.9183555,358.2424766,0.001306263,5.79E-05,0.001379393,0.001454005,0.90931786,1.491173602
1/8/18,VP18-0108,8,20.68,1.6,1,0,8.026457469,2.35E-05,365.1550801,366.7327805,365.1550801,366.7327805,365.1550801,366.7327831,0.001698085,5.38E-05,0.00177543,0.001830585,0.817162237,1.371550537
2/2/18,VP18-0202,8,24.03,5.4,1,0,7.991870403,2.17E-05,396.6194467,398.248347,396.6194467,398.248347,396.6194467,398.2483498,0.001699416,6.41E-05,0.001785222,0.001859165,0.982912965,1.612687657
3/2/18,VP18-0302,8,18.85,10,1,0,7.906038734,2.44E-05,505.7835095,507.7393135,505.7835095,507.7393135,505.7835095,507.7393176,0.001632826,5.19E-05,0.001709124,0.00175852,0.805294827,1.350136601
4/4/18,VP18-0404,8,20.16,15,1,0,7.905795832,2.05E-05,503.5006184,505.3264026,503.5006184,505.3264026,503.5006184,505.3264063,0.001585844,6.38E-05,0.001670104,0.001740825,1.010132244,1.664383426
5/4/18,VP18-0504,8,19.43,21.3,1,0,7.694309022,2.69E-05,792.094474,794.7493119,792.094474,794.7493119,792.094474,794.7493199,0.001454691,4.46E-05,0.00152623,0.001563935,0.732257419,1.194640256
6/12/18,VP18-0612,8,13.34,24.3,1,0,7.63207374,3.70E-05,1143.389512,1147.084368,1143.389512,1147.084368,1143.389512,1147.084384,0.001650649,4.02E-05,0.001727869,0.001742813,0.683360725,1.152289531
6/12/18,VP218-0612,8,13.34,24.3,1,0,7.63207374,3.70E-05,1143.389512,1147.084368,1143.389512,1147.084368,1143.389512,1147.084384,0.001650649,4.02E-05,0.001727869,0.001742813,0.683360725,1.152289531
