Date,Sample,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
12/14/18,Low-Sump-AM,8,4.67,15.1,1,0,7.500201436,2.32E-05,525.159638,527.0615879,525.159638,527.0615879,525.159638,527.061592,0.000519475,4.82E-06,0.000547534,0.000530965,0.077042659,0.13852263
12/14/18,Amb-Sump-AM,8,11.86,14.2,1,0,7.814788443,2.33E-05,532.9404027,534.892798,532.9404027,534.892798,532.9404027,534.8928022,0.001234438,2.97E-05,0.001287482,0.00130505,0.471506661,0.821239424
12/14/18,Low-Sump-PM,8,5.16,15.4,1,0,7.531899999,2.25E-05,515.3300328,517.1892645,515.3300328,517.1892645,515.3300328,517.1892683,0.000552017,5.68E-06,0.000580227,0.00056563,0.091311278,0.164036735
12/14/18,Amb-Sump-PM,8,12.33,13.3,1,0,7.781610769,2.61E-05,582.0487954,584.205888,582.0487954,584.205888,582.0487954,584.2058931,0.001266382,2.78E-05,0.001320249,0.00133248,0.437341467,0.760679764
12/14/18,MR-2-01-L-PM,8,4.71,8.2,1,0,7.582446529,2.65E-05,476.0899348,477.974585,476.0899348,477.974585,476.0899348,477.9745888,0.000602437,5.17E-06,0.000634065,0.00061455,0.078520887,0.142974501
12/14/18,PR-2-04-A-PM,8,11.87,8.2,1,0,7.708242836,3.41E-05,639.4916612,642.0235987,639.4916612,642.0235987,639.4916612,642.0236056,0.001215783,1.81E-05,0.001268009,0.001259415,0.27825565,0.489924511
12/14/18,UC-2-01-L-PM,8,4.73,8.2,1,0,7.600518754,2.50E-05,449.108694,450.8864846,449.108694,450.8864846,449.108694,450.886488,0.000592659,5.31E-06,0.000622922,0.00060513,0.080608023,0.146774683
12/14/18,UC-2-01-A-PM,8,11.88,8.2,1,0,7.713770963,3.19E-05,597.4961344,599.8616923,597.4961344,599.8616923,597.4961344,599.8616983,0.001150661,1.74E-05,0.001199901,0.0011929,0.266817772,0.469754653
12/14/18,MR-2-02-A-PM,8,11.89,8,1,0,7.688027674,3.25E-05,605.5541862,607.9579558,605.5541862,607.9579558,605.5541862,607.957962,0.001101027,1.56E-05,0.001149094,0.001139165,0.23857284,0.420138759
12/14/18,VP-2-06-L-PM,8,4.73,8.3,1,0,7.576913967,2.51E-05,453.4154489,455.2079482,453.4154489,455.2079482,453.4154489,455.2079517,0.000566214,4.82E-06,0.000596142,0.00057762,0.073274626,0.133398503
12/14/18,VP-2-05-A-PM,8,11.88,8,1,0,7.79041181,1.83E-05,340.9327349,342.2856949,340.9327349,342.2856949,340.9327349,342.2856969,0.000784576,1.40E-05,0.00081691,0.000821415,0.215124837,0.378870818
12/14/18,PR-2-01-L-PM,8,4.72,8.2,1,0,7.581819133,2.52E-05,452.8856021,454.6783508,452.8856021,454.6783508,452.8856021,454.6783542,0.000572352,4.91E-06,0.000602426,0.00058394,0.074528642,0.135705174
12/15/18,Amb-Sump-AM,8,11.77,13.1,1,0,7.791531523,2.19E-05,483.2909728,485.0864666,483.2909728,485.0864666,483.2909728,485.0864701,0.001068734,2.33E-05,0.001113944,0.00112551,0.367253506,0.641404203
12/15/18,Low-Sump-AM,8,4.64,16,1,0,7.552045676,2.05E-05,477.1038744,478.8120753,477.1038744,478.8120753,477.1038744,478.8120785,0.000527742,5.71E-06,0.000553981,0.00054129,0.091855169,0.164868384
12/15/18,VP-2-06-A-AM,8,12.3,8,1,0,7.686567407,3.56E-05,665.1184441,667.7588252,665.1184441,667.7588252,665.1184441,667.7588327,0.001212394,1.73E-05,0.001265335,0.001254347,0.26558656,0.466434129
12/15/18,UC-2-01-A-AM,8,12.3,8.3,1,0,7.710214484,3.34E-05,629.986217,632.4772316,629.986217,632.4772316,629.986217,632.4772383,0.001209639,1.85E-05,0.001261495,0.001254347,0.283552089,0.497738006
12/15/18,PR-2-02-L-AM,8,5.21,8.6,1,0,7.615016076,2.13E-05,388.9529502,390.4844807,388.9529502,390.4844807,388.9529502,390.4844832,0.000533556,5.11E-06,0.000559923,0.000545962,0.078176277,0.142200322
12/15/18,UC-2-04-L-AM,8,5.22,8.2,1,0,7.622116753,2.11E-05,381.283514,382.7927094,381.283514,382.7927094,381.283514,382.7927119,0.000533537,5.12E-06,0.00055978,0.000545962,0.078048151,0.142064159
12/15/18,VP-2-05-L-AM,8,5.2,8.5,1,0,7.615538866,2.13E-05,388.2603101,389.791112,388.2603101,389.791112,388.2603101,389.7911145,0.000533597,5.10E-06,0.000559986,0.000545962,0.077881646,0.141690855
12/15/18,PR-2-05-A-AM,8,12.31,9,1,0,7.740382682,3.05E-05,588.8582355,591.1653255,588.8582355,591.1653255,588.8582355,591.1653313,0.001205281,2.03E-05,0.001256031,0.001254347,0.312499842,0.547868292
12/15/18,MR-2-04-L-AM,8,5.21,8.5,1,0,7.616708497,2.12E-05,387.1161505,388.6424394,387.1161505,388.6424394,387.1161505,388.6424419,0.000533556,5.11E-06,0.000559896,0.000545962,0.078121043,0.14212461
12/15/18,MR-2-05-AM,8,12.3,9.3,1,0,7.625444392,3.97E-05,776.0455574,779.0747728,776.0455574,779.0747728,776.0455574,779.0747828,0.001215928,1.59E-05,0.001271555,0.001254347,0.245107128,0.429524851
12/15/18,Amb-Sump-PM,8,11.76,13.6,1,0,7.799677596,2.36E-05,530.2448965,532.2023586,530.2448965,532.2023586,530.2448965,532.2023629,0.001189957,2.70E-05,0.00124056,0.001254347,0.42592089,0.743201074
12/15/18,Low-Sump-PM,8,5.06,16,1,0,7.57492001,1.94E-05,452.0480638,453.6665108,452.0480638,453.6665108,452.0480638,453.6665137,0.000531175,6.15E-06,0.000556737,0.000545962,0.099331848,0.178256476
12/15/18,VP-2-02-A-PM,8,11.78,8.7,1,0,7.740177068,3.11E-05,593.0558591,595.3885237,593.0558591,595.3885237,593.0558591,595.3885295,0.001206999,1.97E-05,0.001257792,0.001254347,0.303044168,0.533440131
12/15/18,MR-2-07-A-PM,8,11.79,8.6,1,0,7.676730037,3.63E-05,689.2935478,692.0085701,689.2935478,692.0085701,689.2935478,692.008578,0.00121335,1.71E-05,0.001266661,0.001254347,0.262156717,0.461514503
12/15/18,UC-2-01-L-PM,8,4.69,9.6,1,0,7.60116942,2.17E-05,409.0415187,410.6313144,409.0415187,410.6313144,409.0415187,410.6313171,0.000533923,5.05E-06,0.000560638,0.000545962,0.07743737,0.140655113
12/15/18,PR-2-02-L-PM,8,4.69,8.9,1,0,7.596626174,2.23E-05,411.2783079,412.8914516,411.2783079,412.8914516,411.2783079,412.8914544,0.000534359,4.87E-06,0.000561537,0.000545962,0.07425087,0.135034145
12/15/18,PR-2-05-A-PM,8,11.78,8.4,1,0,7.62985121,4.08E-05,769.4736927,772.5127301,769.4736927,772.5127301,769.4736927,772.5127401,0.00121771,1.52E-05,0.001273705,0.001254347,0.23400912,0.412127902
12/15/18,VP-2-02-L-PM,8,4.69,8.4,1,0,7.588889631,2.30E-05,417.247888,418.8951842,417.247888,418.8951842,417.247888,418.8951871,0.000534776,4.69E-06,0.000562497,0.000545962,0.071329722,0.129835283
12/15/18,MR-2-06-L-PM,8,4.7,8.4,1,0,7.618895793,2.15E-05,388.7432914,390.2780042,388.7432914,390.2780042,388.7432914,390.2780068,0.000533981,5.02E-06,0.000560458,0.000545962,0.076356408,0.138984939
12/15/18,UC-2-05-A-PM,8,11.77,8.5,1,0,7.603819442,4.32E-05,819.1102273,822.3412494,819.1102273,822.3412494,819.1102273,822.3412606,0.00121967,1.44E-05,0.001277335,0.001254347,0.221654218,0.390329219
12/16/18,PR-2-02-A-AM,8,11.76,8.4,1,0,7.506796662,5.45E-05,1029.262862,1033.329074,1029.262862,1033.329074,1029.262862,1033.329092,0.001226579,1.16E-05,0.001292657,0.001254347,0.177430051,0.312524412
12/16/18,MR-2-06-A-AM,8,11.76,8.1,1,0,7.588648123,4.53E-05,846.7360508,850.093671,846.7360508,850.093671,846.7360508,850.0936831,0.001221341,1.37E-05,0.001280391,0.001254347,0.210492754,0.370946637
12/16/18,MR-2-05-L-AM,8,5.1,8.1,1,0,7.614942236,2.16E-05,388.4033017,389.9427049,388.4033017,389.9427049,388.4033017,389.9427074,0.000533885,4.99E-06,0.00056049,0.000545962,0.076048074,0.138466776
12/16/18,UC-2-04-A-AM,8,11.76,8.7,1,0,7.674808132,3.63E-05,693.2647985,695.9919091,693.2647985,695.9919091,693.2647985,695.9919171,0.00121343,1.70E-05,0.001266806,0.001254347,0.261904544,0.461084267
12/16/18,UC-2-02-L-AM,8,5.1,8.9,1,0,7.616264207,2.11E-05,389.5242879,391.0520707,389.5242879,391.0520707,389.5242879,391.0520732,0.000533476,5.17E-06,0.000559721,0.000545962,0.079082455,0.143791205
12/16/18,PR-2-04-L-AM,8,5.1,8.5,1,0,7.611864505,2.15E-05,392.4058488,393.9530023,392.4058488,393.9530023,392.4058488,393.9530049,0.000533785,5.04E-06,0.000560353,0.000545962,0.076900327,0.139921343
12/16/18,VP-2-07-L-AM,8,5.11,8.1,1,0,7.619085473,2.14E-05,384.5578942,386.0820502,384.5578942,386.0820502,384.5578942,386.0820527,0.000533763,5.04E-06,0.000560201,0.000545962,0.076794923,0.139825181
12/16/18,VP-2-03-A-AM,8,11.77,8.1,1,0,7.775740495,2.90E-05,542.6000821,544.7509877,542.6000821,544.7509877,542.6000821,544.7509927,0.001204271,2.08E-05,0.001254142,0.001254347,0.31942468,0.56287762
