Sample_ID,Site,Set,Number,P_Glycogen_DW,Log_Gly,Sqrt_Gly,P_DeltaGly_DW,Log_Delta_Gly,Sqrt_Delta_Gly,ConditionIndex,Log_CI,Sqrt_CI,Delta_CI,Log_Delta_CI,Sqrt_Delta_CI
MR-1-01-G,MR,Set1,1,4.913322978,0.691375313,0.831489815,NA,NA,NA,7.278445806,0.862038653,0.928460367,NA,NA,NA
MR-1-02-G,MR,Set1,1,17.94990404,1.254062131,1.119849155,NA,NA,NA,5.629086404,0.750437915,0.866278197,NA,NA,NA
MR-1-03-G,MR,Set1,1,5.870480387,0.768673641,0.87674035,NA,NA,NA,7.811697261,0.892745404,0.944852054,NA,NA,NA
MR-1-04-G,MR,Set1,1,12.89535554,1.110433321,1.053771,NA,NA,NA,5.563359615,0.745337134,0.863329099,NA,NA,NA
MR-1-05-G,MR,Set1,1,9.714324496,0.987412606,0.993686372,NA,NA,NA,4.747454614,0.676460822,0.822472384,NA,NA,NA
MR-1-06-G,MR,Set1,1,9.696675252,0.986622851,0.993288906,NA,NA,NA,6.830093119,0.834426625,0.913469553,NA,NA,NA
MR-1-07-G,MR,Set1,1,8.203383358,0.913993007,0.956029815,NA,NA,NA,5.748865356,0.759582137,0.871540095,NA,NA,NA
MR-1-08-G,MR,Set1,1,18.71443249,1.272176662,1.127908091,NA,NA,NA,5.196051252,0.715673426,0.845974838,NA,NA,NA
MR-1-09-G,MR,Set1,1,4.982199812,0.697421141,0.835117441,NA,NA,NA,5.577180299,0.746414685,0.863952941,NA,NA,NA
PR-1-01-G,PR,Set1,2,12.32096479,1.090644716,1.044339368,NA,NA,NA,7.154188619,0.854560386,0.924424354,NA,NA,NA
PR-1-02-G,PR,Set1,2,13.31540266,1.124354304,1.060355744,NA,NA,NA,5.74320842,0.759154577,0.87129477,NA,NA,NA
PR-1-03-G,PR,Set1,2,9.898860888,0.995585221,0.997790169,NA,NA,NA,7.512028936,0.875757252,0.935819027,NA,NA,NA
PR-1-04-G,PR,Set1,2,12.02800606,1.080193638,1.039323644,NA,NA,NA,7.132514749,0.853242678,0.923711361,NA,NA,NA
PR-1-05-G,PR,Set1,2,14.32531282,1.156104114,1.075222821,NA,NA,NA,8.074472507,0.90711416,0.952425409,NA,NA,NA
PR-1-06-G,PR,Set1,2,15.08006454,1.1784032,1.085542814,NA,NA,NA,8.727857525,0.940907648,0.970003942,NA,NA,NA
PR-1-07-G,PR,Set1,2,24.42961748,1.387916667,1.178098751,NA,NA,NA,7.701853213,0.886595237,0.941591863,NA,NA,NA
PR-1-08-G,PR,Set1,2,12.60424036,1.100516676,1.049055135,NA,NA,NA,5.742046336,0.759066693,0.871244336,NA,NA,NA
PR-1-09-G,PR,Set1,2,12.53136887,1.097998514,1.047854243,NA,NA,NA,5.492658803,0.739782622,0.860106169,NA,NA,NA
UC-1-01-G,UC,Set1,3,23.15526678,1.364649789,1.168182258,NA,NA,NA,5.907945317,0.771436467,0.87831456,NA,NA,NA
UC-1-02-G,UC,Set1,3,10.5737727,1.02422997,1.012042474,NA,NA,NA,7.502428014,0.875201837,0.935522227,NA,NA,NA
UC-1-03-G,UC,Set1,3,4.469969581,0.650304568,0.806414638,NA,NA,NA,7.113111656,0.852059626,0.923070759,NA,NA,NA
UC-1-04-G,UC,Set1,3,14.59622873,1.16424066,1.078999842,NA,NA,NA,6.861762672,0.836435693,0.914568583,NA,NA,NA
UC-1-05-G,UC,Set1,3,10.04591466,1.001989485,1.000994248,NA,NA,NA,8.165209594,0.911967337,0.954969809,NA,NA,NA
UC-1-06-G,UC,Set1,3,8.927234791,0.950716957,0.975047156,NA,NA,NA,7.380194302,0.868067796,0.93170156,NA,NA,NA
UC-1-07-G,UC,Set1,3,9.940842722,0.997423203,0.99871077,NA,NA,NA,6.435775064,0.808600857,0.899222362,NA,NA,NA
VP-1-01-G,VP,Set1,4,9.071990544,0.957702589,0.978622802,NA,NA,NA,4.190248378,0.622239767,0.788821759,NA,NA,NA
